title,views,date_time,video_link,thumbnail_link
Master Competitive Programming with this RoadMap | *Free Resources Inside*,7.4K views,5 months ago,/watch?v=lozDmn15zcw,/watch?v=lozDmn15zcw
These Projects give you an UNFAIR ADVANTAGE | Get Placed in 2024,6.1K views,5 months ago,/watch?v=KY73lTNeWzI,/watch?v=KY73lTNeWzI
"I went to the House of a Google Project Manager | Life at Google |Project Management Roadmap, Salary",625K views,6 months ago,/watch?v=cC8MjoYGedk,/watch?v=cC8MjoYGedk
Is the Tech Recession finally over? | Massive Tech Layoffs & Recession | How to get a job in 2024?,5.4K views,6 months ago,/watch?v=wolOoIsBnew&pp=0gcJCb8Ag7Wk3p_U,/watch?v=wolOoIsBnew&pp=0gcJCb8Ag7Wk3p_U
Master Software Testing & Automation | Career in Testing | GeeksforGeeks,1K views,6 months ago,/watch?v=b3uovZLWkVM,/watch?v=b3uovZLWkVM
🚀 Please Watch this Video if you are a College Student | Get Placed in 2024,2.6K views,6 months ago,/watch?v=9Fx3wGat0Fg,/watch?v=9Fx3wGat0Fg
Python Fundamentals and its Applications with GeeksforGeeks,4.4K views,6 months ago,/watch?v=qzyTwGpDYog,/watch?v=qzyTwGpDYog
(Not Clickbait) Learn Recursion in just 300 seconds 😮 | DSA Made Simple,1.5K views,6 months ago,/watch?v=Bi_rfJLf-jA,/watch?v=Bi_rfJLf-jA
From Tier 3 College to 20LPA Package 🤑 at Harman as a Senior Software Engineer | My Journey,5.5K views,6 months ago,/watch?v=cGPpUdaISGE,/watch?v=cGPpUdaISGE
How I Built an AirBnb Clone from Scratch | MERN Stack Project | GeeksforGeeks,9.3K views,6 months ago,/watch?v=koTBLYNq63I&pp=0gcJCb8Ag7Wk3p_U,/watch?v=koTBLYNq63I&pp=0gcJCb8Ag7Wk3p_U
"Master Web3 in 2024 (The Ultimate Roadmap) | Block Chain, Crypto Currency |",2K views,6 months ago,/watch?v=CKrM5ouILBg,/watch?v=CKrM5ouILBg
🚀 Do This to Learn DSA and Get a Job | *Free Resources Inside* | The Ultimate DSA Roadmap 📚,4.8K views,6 months ago,/watch?v=VdLUuIeuXqM,/watch?v=VdLUuIeuXqM
"Sorting Algorithms Full Course | Bubble, Selection, Insertion Sort & More | DSA Free Videos Complete",9.9K views,6 months ago,/watch?v=IsBMyMch0gw&pp=0gcJCb8Ag7Wk3p_U,/watch?v=IsBMyMch0gw&pp=0gcJCb8Ag7Wk3p_U
"IIT Grads reveal TOP PLACEMENT SECRETS 🤯 | Advice, Get Job in 2024, Salary, Roadmap, Life at IIT",12K views,6 months ago,/watch?v=HqqF_4yORKU,/watch?v=HqqF_4yORKU
I Went to the House of a Recent IIT BOMBAY Grad & AI Researcher at Sprinklr | House Invasion Ep-1🚀,17K views,7 months ago,/watch?v=xvBlkjtmvBc,/watch?v=xvBlkjtmvBc
Time and Space Complexity explained in literally 5 minutes | Big O | Concepts made simple ep -1,37K views,7 months ago,/watch?v=jOMxKsUd6e0,/watch?v=jOMxKsUd6e0
